PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,,End-End Delay
1,32,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10378477.76,10390685.76,10390685.76,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,32,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10390685.76,10402893.76,10402893.76,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,33,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10390686.72,10402894.72,10402894.72,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,33,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10402894.72,10415102.72,10415102.72,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,34,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10402895.68,10415103.68,10415103.68,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,34,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10415103.68,10427311.68,10427311.68,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,35,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10415104.64,10427312.64,10427312.64,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,35,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10427312.64,10439520.64,10439520.64,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,36,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10427313.6,10439521.6,10439521.6,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,36,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10439521.6,10451729.6,10451729.6,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,37,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10439522.56,10451730.56,10451730.56,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,37,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10451730.56,10463938.56,10463938.56,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,38,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10451731.52,10463939.52,10463939.52,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,38,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10463939.52,10476147.52,10476147.52,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,39,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10463940.48,10476148.48,10476148.48,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,39,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10476148.48,10488356.48,10488356.48,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,40,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10476149.44,10488357.44,10488357.44,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,40,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10488357.44,10500565.44,10500565.44,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,41,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10488358.4,10500566.4,10500566.4,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,41,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10500566.4,10512774.4,10512774.4,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,42,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10500567.36,10512775.36,10512775.36,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,42,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10512775.36,10524983.36,10524983.36,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,43,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10512776.32,10524984.32,10524984.32,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,43,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10524984.32,10537192.32,10537192.32,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
1,44,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10524985.28,10537193.28,10537193.28,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,
